NAME | CLUB
--- | ---
ABHINAV LEO | INTER MIAMI
ABOOBAKER | LIVERPOOL FC
ADIL | CHELSEA FC
ADITH | NEWCASTLE UNITED
AFSAL | MANCHESTER CITY
AKHIL | RANGERS FC
AKSHAY LAL | WOLVES
AMEEN | FC BARCELONA
AMEEN K | SPORTING CP
ANU 10 | SL BENFICA
ARIF LEO | MOHUN BAGAN SG
AASHIQUE | FC BAYERN MUNICH
ASHITH | FEYENOORD
BLACK STROM | INTER MILAN
DKM | AL NASSR
FASAL | FSV MAINZ 05
FAYAZ | BORUSSIA DORTMUND
FAYIS | ARSENAL FC
FAZI | LOSC LILLE
IDIOT | NEWELL'S OLD BOYS
IEMXSIN | ASTON VILLA
IRFAN | PARIS SAINT-GERMAIN
KRISH | MANCHESTER UNITED
MITHILESH | NOTTINGHAM FOREST
MUBASHIR | AC MILAN
NABEEL | TOTTENHAM HOTSPUR
NIDHUL | JUVENTUS FC
NIHAL | RAYONG FC
PACHU | FENERBAHCE SK
ROHITH | SANTOS FC
SAFVAN | CRYSTAL PALACE FC
SAINU | ATLETICO DE MADRID
SHADOW_4A | REAL MADRID CF
SHAHANAB | SS LAZIO
SHAMIL | SSC NAPOLI
SHAMIL FC | BAYER LEVERKUSEN
BECKHAM | SEPAHAN SC
TEJAS | MUMBAI CITY
UMAR | AS ROMA
VIMAL | LEICESTER CITY
WITCHR | AFC AJAX
